"text","emotion"
"I'm feeling great today!","joy"
"Life is beautiful!","joy"
"I'm feeling amazing!","joy"
"What a wonderful day!","joy"
"I'm feeling amazing today!","joy"
"Life is so beautiful right now.","joy"
"I can't stop smiling!","joy"
"Everything feels perfect.","joy"
"I'm so grateful for this moment.","joy"
"Today is absolutely wonderful!","joy"
"I feel on top of the world!","joy"
"What a fantastic day!","joy"
"I'm bursting with happiness!","joy"
"I'm full of positive energy.","joy"
"Everything is going great!","joy"
"I feel so alive!","joy"
"This is pure bliss.","joy"
"I'm laughing for no reason at all!","joy"
"I love this feeling!","joy"
"I'm walking on sunshine!","joy"
"My heart is full of joy.","joy"
"Nothing can ruin this day!","joy"
"I'm glowing with happiness.","joy"
"I feel unstoppable!","joy"
"I'm surrounded by love and light.","joy"
"Everything is falling into place.","joy"
"The sun is shining, and so am I.","joy"
"I'm enjoying every second of this.","joy"
"Life couldn't be better!","joy"
"I'm so angry right now.","anger"
"This makes me so mad!","anger"
"I can't stand this!","anger"
"Why is this happening?!","anger"
"I'm so mad!","anger"
"I'm so angry right now.","anger"
"This is making me furious!","anger"
"I can't believe this is happening!","anger"
"I'm sick and tired of this!","anger"
"Why can't things just go right?!","anger"
"I'm about to explode!","anger"
"I can't stand this anymore.","anger"
"This is so frustrating!","anger"
"Everything is getting on my nerves.","anger"
"I'm absolutely livid.","anger"
"I feel like screaming!","anger"
"Don't talk to me right now.","anger"
"I'm done with this nonsense!","anger"
"This is unacceptable!","anger"
"Stop pushing my buttons!","anger"
"How many times do I have to say it?!","anger"
"I hate when this happens!","anger"
"My patience is running out.","anger"
"I'm beyond irritated.","anger"
"This makes my blood boil!","anger"
"You've crossed the line!","anger"
"I'm fuming with rage.","anger"
"I can't control my anger.","anger"
"I'm so mad I can't think straight!","anger"
"I need to calm down before I break something.","anger"
"I HATE YOU!!!!!","anger"
"I just want to cry.","sadness"
"This is heartbreaking.","sadness"
"I just want to cry.","sadness"
"Nothing feels right anymore.","sadness"
"I'm overwhelmed with sadness.","sadness"
"I feel so alone.","sadness"
"Tears won't stop falling.","sadness"
"My heart feels heavy.","sadness"
"Everything seems hopeless.","sadness"
"I don’t even have the energy to try.","sadness"
"I miss the way things used to be.","sadness"
"It’s like a storm inside me.","sadness"
"Why does it always hurt?","sadness"
"I feel completely empty.","sadness"
"No one understands me.","sadness"
"It’s hard to keep going.","sadness"
"I just want to disappear.","sadness"
"The silence is too loud.","sadness"
"I can't stop thinking about it.","sadness"
"I feel like I'm fading.","sadness"
"This pain won’t go away.","sadness"
"I’m tired of pretending I’m okay.","sadness"
"Everything makes me want to cry.","sadness"
"I wish someone could save me.","sadness"
"My smile hides a lot.","sadness"
"It hurts more than I can explain.","sadness"
"I don’t know how to fix this.","sadness"
"That’s hilarious!","amusement"
"This joke is gold!","amusement"
"LOL, can't stop laughing!","amusement"
"So funny!","amusement"
"That's hilarious!","amusement"
"I can't stop laughing!","amusement"
"This joke is gold!","amusement"
"That was so funny!","amusement"
"I’m cracking up!","amusement"
"This is comedy gold!","amusement"
"LOL, that made my day!","amusement"
"I haven’t laughed this hard in ages!","amusement"
"You’re too funny!","amusement"
"I’m dying of laughter!","amusement"
"This meme is everything!","amusement"
"My stomach hurts from laughing!","amusement"
"That punchline was brilliant!","amusement"
"Laughter is the best medicine!","amusement"
"That was unexpectedly hilarious!","amusement"
"Tears of laughter right now!","amusement"
"I love this kind of humor!","amusement"
"You always make me laugh!","amusement"
"I just snorted from laughing!","amusement"
"That was pure genius!","amusement"
"Too good! I can’t stop giggling!","amusement"
"Best laugh I’ve had all day!","amusement"
"This video is comedy gold!","amusement"
"Such a funny moment!","amusement"
"I needed that laugh!","amusement"
"LMAO","amusement"
"I'm scared of what's next.","fear"
"I'm really anxious.","fear"
"I'm scared of what's next.","fear"
"This is terrifying.","fear"
"I don't feel safe.","fear"
"I'm really anxious.","fear"
"My heart is racing.","fear"
"I feel like something bad is going to happen.","fear"
"I can't stop shaking.","fear"
"I’m paralyzed with fear.","fear"
"What if it all goes wrong?","fear"
"I feel a chill down my spine.","fear"
"I’m trapped in this nightmare.","fear"
"This place gives me the creeps.","fear"
"I can’t breathe, I’m so scared.","fear"
"I’m afraid to be alone.","fear"
"Everything feels threatening.","fear"
"I’m hiding so they won’t find me.","fear"
"I heard something... I think I’m not alone.","fear"
"The fear is eating me alive.","fear"
"I'm constantly on edge.","fear"
"Something doesn’t feel right.","fear"
"Please don’t leave me here.","fear"
"I just want this to be over.","fear"
"I keep having panic attacks.","fear"
"I wish I could disappear right now.","fear"
"I feel like I’m being watched.","fear"
"Scary!","fear"
"I'm so in love.","love"
"Love is all I feel.","love"
"I love you.","love"
"I'm so in love.","love"
"Love is all I feel.","love"
"My heart beats for you.","love"
"You mean everything to me.","love"
"Being with you feels perfect.","love"
"I can't imagine life without you.","love"
"Every moment with you is magic.","love"
"You light up my world.","love"
"I feel safe in your arms.","love"
"Your smile makes my day.","love"
"I cherish every second with you.","love"
"You're the reason I'm happy.","love"
"My heart is full because of you.","love"
"I'm so lucky to have you.","love"
"I never want to let you go.","love"
"I think about you all the time.","love"
"You make me feel complete.","love"
"You’re my person.","love"
"I fall for you every day.","love"
"You’re everything I ever wanted.","love"
"With you, everything feels right.","love"
"Just thinking about you makes me smile.","love"
"You’re the best part of my life.","love"
"Totally surprised!","surprise"
"This is shocking!","surprise"
"I didn't expect that!","surprise"
"Wow, really?","surprise"
"This is shocking!","surprise"
"Totally surprised!","surprise"
"You’ve got to be kidding me!","surprise"
"That came out of nowhere!","surprise"
"I’m speechless!","surprise"
"I can’t believe it!","surprise"
"Wait, what just happened?","surprise"
"That’s unbelievable!","surprise"
"No way!","surprise"
"This is a complete surprise!","surprise"
"I’m in total shock!","surprise"
"What a twist!","surprise"
"You surprised me!","surprise"
"This is not what I was expecting!","surprise"
"That’s wild!","surprise"
"I’m stunned!","surprise"
"What a surprise!","surprise"
"Seriously?!","surprise"
"That blew my mind!","surprise"
"I never saw that coming!","surprise"
"This changes everything!","surprise"
"Whoa, that’s unexpected!","surprise"
"I’m caught completely off guard!","surprise"
"That was awkward.","embarrassment"
"I'm so embarrassed.","embarrassment"
"I wish I could disappear.","embarrassment"
"I'm so embarrassed.","embarrassment"
"That was awkward.","embarrassment"
"I wish I could disappear.","embarrassment"
"I can’t believe I just said that.","embarrassment"
"I want to crawl under a rock.","embarrassment"
"Everyone saw that…","embarrassment"
"Please tell me no one noticed.","embarrassment"
"I’m blushing so hard.","embarrassment"
